PV,Time,OccuRate,Occu,Ppv,Pcharge
0,0:00,,0,0,0
0,0:12,,0,0,0
0,0:24,,0,0,0
0,0:36,,0,0,0
0,0:48,,0,0,0
0,1:00,,0,0,0
0,1:12,,0,0,0
0,1:24,,0,0,0
0,1:36,,0,0,0
0,1:48,,0,0,0
0,2:00,,0,0,0
0,2:12,,0,0,0
0,2:24,,0,0,0
0,2:36,,0,0,0
0,2:48,,0,0,0
0,3:00,,0,0,0
0,3:12,,0,0,0
0,3:24,,0,0,0
0,3:36,,0,0,0
0,3:48,,0,0,0
0,4:00,,0,0,0
0,4:12,,0,0,0
0,4:24,,0,0,0
0,4:36,,0,0,0
0,4:48,,0,0,0
0,5:00,,0,0,0
0,5:12,,0,0,0
0,5:24,,0,0,0
0,5:36,,0,0,0
0,5:48,,0,0,0
0,6:00,,0,0,0
0,6:12,,0,0,0
0,6:24,,0,0,0
0,6:36,,0,0,0
0,6:48,,0,0,0
0.39,7:00,0,0,4.326017766,0
0.44,7:12,  1/28,1,4.834089135,7
0.45,7:24,  1/14,2,4.926165998,14
0.59,7:36,  1/7 ,4,6.461333044,28
0.66,7:48,  5/28,5,7.297378853,35
1.77,8:00,  3/14,6,19.49662497,42
1.92,8:12,  1/4 ,7,21.19345448,49
1.98,8:24,  2/7 ,8,21.75729359,56
2.03,8:36,  5/14,10,22.38345347,70
2.17,8:48, 11/28,11,23.95408464,77
3.79,9:00,  3/7 ,12,41.79454899,84
3.96,9:12,  3/7 ,12,43.64092572,84
3.97,9:24,  3/7 ,12,43.70882521,84
4.11,9:36, 13/28,13,45.31296042,91
4.15,9:48,  1/2 ,14,45.6746581,98
4.89,10:00,  4/7 ,16,53.86835978,112
4.91,10:12,  4/7 ,16,54.11295117,112
4.98,10:24,  5/7 ,20,54.89005309,140
5,10:36, 11/14,22,55.12650266,154
5.06,10:48, 25/28,25,55.72202924,175
5.89,11:00, 13/14,26,64.88355791,182
6.05,11:12, 27/28,27,66.64954776,189
6.09,11:24, 27/28,27,67.08838291,189
6.09,11:36, 27/28,27,67.08919234,189
6.11,11:48, 27/28,27,67.35702764,189
6.41,12:00, 27/28,27,70.57315639,189
6.43,12:12, 13/14,26,70.85080539,182
6.47,12:24, 13/14,26,71.30889449,182
6.49,12:36, 27/28,27,71.46862413,189
6.55,12:48, 13/14,26,72.18823958,182
5.96,1:00, 13/14,26,65.65893631,182
5.93,1:12, 13/14,26,65.35655526,182
5.93,1:24, 27/28,27,65.33901055,189
5.93,1:36, 27/28,27,65.33406652,189
5.92,1:48, 13/14,26,65.16492147,182
5.67,2:00, 13/14,26,62.41643808,182
5.57,2:12, 13/14,26,61.40543585,182
5.52,2:24, 25/28,25,60.84623233,175
5.5,2:36, 13/14,26,60.57404868,182
5.39,2:48, 27/28,27,59.35717092,189
4.67,3:00, 27/28,27,51.43640799,189
4.51,3:12, 27/28,27,49.62796982,189
4.48,3:24, 13/14,26,49.36067396,182
4.43,3:36, 13/14,26,48.74893042,182
4.41,3:48, 13/14,26,48.59418793,182
3.21,4:00, 13/14,26,35.36164106,182
3.06,4:12, 25/28,25,33.72791095,175
3.02,4:24, 25/28,25,33.2583125,175
3.01,4:36, 25/28,25,33.1803671,175
2.94,4:48, 25/28,25,32.3462856,175
1.53,5:00, 27/28,27,16.85466762,189
1.48,5:12,  6/7 ,24,16.29388211,168
1.47,5:24,  6/7 ,24,16.13916406,168
1.46,5:36, 23/28,23,16.13596157,161
1.39,5:48, 25/28,25,15.26540195,175
0,6:00, 23/28,23,0,161
0,6:12, 23/28,23,0,161
0,6:24,  6/7 ,24,0,168
0,6:36,  6/7 ,24,0,168
0,6:48,  6/7 ,24,0,168
0,7:00,,23,0,161
0,7:12,,25,0,175
0,7:24,,23,0,161
0,7:36,,23,0,161
0,7:48,,24,0,168
0,8:00,,24,0,168
0,8:12,,24,0,168
0,8:24,,18,0,126
0,8:36,,16,0,112
0,8:48,,16,0,112
0,9:00,,16,0,112
0,9:12,,14,0,98
0,9:24,,13,0,91
0,9:36,,12,0,84
0,9:48,,11,0,77
0,10:00,,10,0,70
0,10:12,,8,0,56
0,10:24,,7,0,49
0,10:36,,6,0,42
0,10:48,,5,0,35
0,11:00,,4,0,28
0,11:12,,3,0,21
0,11:24,,2,0,14
0,11:36,,1,0,7
0,11:48,,0,0,0
